"序号","网址","发帖大类","发帖小类","发帖标题","发帖内容","发帖人","发帖日期","发帖类型","分词结果"
1847,"http://bbs.cehome.com/thread-1144902-1-1.html","挖掘机专区","我爱我挖","中大奖啦","","铁甲十八子","2017-11-23 06:32:51","","中大奖"
1848,"http://bbs.cehome.com/thread-1144901-1-1.html","铁甲娱乐","轻松一刻","分享日记第175天","干","Yanyingqiang","2017-11-23 06:32:09","","分享 日记"
1849,"http://bbs.cehome.com/thread-1144894-1-1.html","","","","","","","",""
1850,"http://bbs.cehome.com/thread-1144885-1-1.html","挖掘机专区","我爱我挖","今天开小徐工  ，没牌照没保险，4点就要出发啊","","手机用户pruvwy7","2017-11-23 06:06:11","","今天 开小 牌照 保险 就要 出发"
1851,"http://bbs.cehome.com/thread-1144883-1-1.html","铁甲娱乐","轻松一刻","分享日记第187天","大家早上好","yanjunheng","2017-11-23 06:04:48","","分享 日记 大家 早上好"
1852,"http://bbs.cehome.com/thread-1144880-1-1.html","挖掘机专区","我爱我挖","起床上班","看看三一服务保障好","王航","2017-11-23 06:01:24","","起床 上班 看看 三一 服务 保障"
1853,"http://bbs.cehome.com/thread-1144869-1-1.html","挖掘机专区","杂谈图库","森尼波根830M 木才堆场堆装木材作业","森尼波根  830M，在爱沙尼亚Kunda木才堆场堆装木材作业。","诛心","2017-11-23 05:45:42","[美图转发]","堆场 木材 作业 爱沙尼亚 堆场 木材 作业"
1854,"http://bbs.cehome.com/thread-1144865-1-1.html","挖掘机专区","我爱我挖","下班、","这个点还有谁奋斗在一线，甲友门","爱在天涯","2017-11-23 05:39:07","","下班 这个 还有 奋斗 一线"
1855,"http://bbs.cehome.com/thread-1144861-1-1.html","挖掘机专区","我爱我挖","小松长臂拆楼机 在俄罗斯圣彼得堡进行拆迁作业","小松PC340LC-6K长臂拆楼机，在俄罗斯圣彼得堡进行拆迁作业。","诛心","2017-11-23 05:33:10","[使用报告]","小松 长臂 俄罗斯 圣彼得堡 进行 拆迁 作业 小松 长臂 俄罗斯 圣彼得堡 进行 拆迁 作业"
1856,"http://bbs.cehome.com/thread-1144820-1-1.html","挖掘机专区","我爱我挖","下班","天还没亮，回去可以睡会！","河南挖友张杰","2017-11-23 04:26:28","","下班 还没 回去 可以"
1857,"http://bbs.cehome.com/thread-1144781-1-1.html","挖掘机专区","我爱我挖","多么吉祥的数字","","手机用户cikpuy0","2017-11-23 03:16:57","","多么 吉祥 数字"
1858,"http://bbs.cehome.com/thread-1144763-1-1.html","我与工程机械","故障咨询","130","神钢130行走时带旋转一点都转不动，以前没有这种情况，而且貌似也没前段时间速度快了，究竟是什么原因，望各位兄弟解答","金泰基础建设有限公司","2017-11-23 02:42:28","[其他]","神钢 行走 旋转 一点 不动 以前 没有 这种 情况 而且 貌似 前段时间 速度快 究竟是 什么原因 各位 兄弟 解答"
1859,"http://bbs.cehome.com/thread-1144742-1-1.html","我与工程机械","混凝土设备","三一46米断臂","","332211czq","2017-11-23 02:02:16","[泵车]","三一 断臂"
1860,"http://bbs.cehome.com/thread-1144730-1-1.html","挖掘机专区","我爱我挖","奖品！","","手机用户grtwz29","2017-11-23 01:39:19","","奖品"
1861,"http://bbs.cehome.com/thread-1144724-1-1.html","我与工程机械","装载机","求助，成工30-3  暖风机不踩有没就没水温","油门踩着就有热风，不踩油门一点热风都没得","滑小稽’","2017-11-23 01:30:42","","求助 暖风机 水温 油门 踩着 就有 热风 踩油门 一点 热风 都没"
1862,"http://bbs.cehome.com/thread-1144708-1-1.html","挖掘机专区","我爱我挖","山猫山猫发个山猫视频","山猫视频","铁甲玖玖","2017-11-23 01:01:12","","山猫 山猫 发个 山猫 视频 山猫 视频"
1863,"http://bbs.cehome.com/thread-1144697-1-1.html","挖掘机专区","我爱我挖","不想买新的，求大神收复指导，","挖水利时村民不清农作物，不小心让荔枝枝叉搞坏，心痛，买新的又贵，有没有办法补好它，要好看的","细路仔玩泥沙","2017-11-23 00:41:33","","不想 大神 收复 指导 水利 村民 不清 农作物 不小心 荔枝 搞坏 心痛 又贵 有没有 办法 要好看"
1864,"http://bbs.cehome.com/thread-1144695-1-1.html","挖掘机专区","我爱我挖","排气阀","徐工铲车排气阀一直排气，换了个新的也一样，是哪的毛病？求大神指教！","末路老狼","2017-11-23 00:39:12","","排气阀 铲车 排气阀 一直 排气 换了 一样 毛病 大神 指教"
1865,"http://bbs.cehome.com/thread-1144694-1-1.html","挖掘机专区","我爱我挖","抽奖666","","蓝绫","2017-11-23 00:39:03","","抽奖"
1866,"http://bbs.cehome.com/thread-1144680-1-1.html","挖掘机专区","我爱我挖","大神来谈谈日立60-5A","本人想入手一台小鸡，想搞日立60吧，狗日的又把发动机换了，没有以前的五十铃给力啊！纠结中…","手机用户gly0149","2017-11-23 00:19:56","","大神 谈谈 日立 本人 想入 一台 小鸡 日立 又把 发动机 换了 没有 以前 五十铃 纠结"
1867,"http://bbs.cehome.com/thread-1144673-1-1.html","挖掘机专区","我爱我挖","油缸断了焊接篇","今天拆出来了找个焊工师傅搞定了，油封也准备漏油了一起解决了","搞哥来也","2017-11-23 00:11:44","","油缸 断了 焊接 今天 拆出来 找个 焊工 师傅 搞定 油封 准备 漏油 一起 解决"
1868,"http://bbs.cehome.com/thread-1144671-1-1.html","挖掘机专区","我爱我挖","各位老铁，挖掘机放一把水平尺在驾驶仓里对于整平用处大大？","像这种","蓝绫","2017-11-23 00:09:42","","各位 挖掘机 一把 水平 驾驶 对于 用处 大大 这种"
1869,"http://bbs.cehome.com/thread-1144669-1-1.html","挖掘机专区","我爱我挖","老司机陷车啦","老司机陷车啦","蓝色山重","2017-11-23 00:09:35","","司机 司机"
1870,"http://bbs.cehome.com/thread-1144666-1-1.html","挖掘机专区","我爱我挖","哪位大神指点下怎么给临工660挖机加装柴油泵","求大神指点怎么安装柴油泵","LG660","2017-11-23 00:06:22","","哪位 大神 指点 怎么 挖机 加装 柴油 大神 指点 怎么 安装 柴油"
1871,"http://bbs.cehome.com/thread-1144665-1-1.html","挖掘机专区","我爱我挖","来个短视频","将就看，毫无技术含量～","60小王子","2017-11-23 00:04:38","","来个 短视 将就 毫无 技术含量"
1872,"http://bbs.cehome.com/thread-1144663-1-1.html","挖掘机专区","我爱我挖","求大神指点临工660挖机怎么加装油泵","有没有大神给临工660加油泵 方便加油","LG660","2017-11-23 00:03:25","","大神 指点 挖机 怎么 加装 油泵 有没有 大神 加油泵 方便 加油"
1873,"http://bbs.cehome.com/thread-1144660-1-1.html","挖掘机专区","我爱我挖","嘿嘿","看吧～","60小王子","2017-11-22 23:58:57","","嘿嘿 看吧"
1874,"http://bbs.cehome.com/thread-1144658-1-1.html","我与工程机械","故障咨询","卡特307D问题","冷机难启动","13759414880","2017-11-22 23:56:30","[其他冒烟问题]","卡特 问题 启动"
1875,"http://bbs.cehome.com/thread-1144650-1-1.html","挖掘机专区","我爱我挖","那个大神在卡特有硬关系？我需要买336的挖机。新机","求大神带路。","18173018011","2017-11-22 23:48:28","","那个 大神 卡特 关系 需要 挖机 新机 大神 带路"
1876,"http://bbs.cehome.com/thread-1144647-1-1.html","挖掘机专区","我爱我挖","各路大神，请问卡特336那种适合做石方一点。","各路大神，请问卡特336那种适合做石方一点。你们觉得336XE怎么样？","18173018011","2017-11-22 23:46:52","","各路 大神 请问 卡特 那种 适合做 石方 一点 各路 大神 请问 卡特 那种 适合做 石方 一点 你们 觉得 怎么样"
1877,"http://bbs.cehome.com/thread-1144639-1-1.html","我与工程机械","道路设备","装车","","DONG哥","2017-11-22 23:35:11","","装车"
1878,"http://bbs.cehome.com/thread-1144635-1-1.html","挖掘机专区","我爱我挖","请教各位用过的甲友们","日工的机油，液压油，齿轮油，怎么样？和长城的油品相比哪种性价比高，好用？","yc","2017-11-22 23:29:18","","请教 各位 用过 日工 机油 液压油 齿轮油 怎么样 长城 油品 相比 哪种 性价比 好用"
1879,"http://bbs.cehome.com/thread-1144629-1-1.html","挖掘机专区","我爱我挖","小挖蓝牌拖车","我想买个蓝牌小挖拖车！有没有懂的！自己组装用什么发动机！和炸响！！人家现车买什么好","手机用户abfjlsy","2017-11-22 23:20:43","","小挖 拖车 想买 小挖 拖车 有没有 自己 组装 什么 发动机 人家 什么"
1880,"http://bbs.cehome.com/thread-1144624-1-1.html","挖掘机专区","我爱我挖","个个都是硬汉，国外吊车美图让你流鼻血！","LTM 1060-3.1GMK 5250LTadano ATF100G-4.Demag AC 160-5.231216v93361pv9rv1j3r8.jpg(139.07 KB,下载次数: 0)2017-11-22 23:12 上传下载次数: 0个个都是硬汉，国外吊车美图让你流鼻血！231116t4inqqxtmu1u7msw.jpg(64.1 KB,下载次数: 0)2017-11-22 23:11 上传下载次数: 0个个都是硬汉，国外吊车美图让你流鼻血！230940lr66r1plu1r6htvl.jpg(211.9 KB,下载次数: 0)2017-11-22 23:09 上传下载次数: 0个个都是硬汉，国外吊车美图让你流鼻血！","","2017-11-22 23:15:40","","个个 都是 硬汉 国外 吊车 美图 流鼻血 下载 次数 上传下载 次数 个个 都是 硬汉 国外 吊车 美图 流鼻血 下载 次数 上传下载 次数 个个 都是 硬汉 国外 吊车 美图 流鼻血 下载 次数 上传下载 次数 个个 都是 硬汉 国外 吊车 美图 流鼻血"
1881,"http://bbs.cehome.com/thread-1144622-1-1.html","挖掘机专区","我爱我挖","下班了","该睡了不睡的看电视剧太平洋战争","手机用户VvW12yc","2017-11-22 23:13:32","","下班 睡了 看电视 太平洋战争"
1882,"http://bbs.cehome.com/thread-1144620-1-1.html","我与工程机械","故障咨询","卡特200B行走不够力，","行走不够力，特别单边行走还差，分油中油封换了还是一样。动作正常，主炮压力330,求大神指点。","15014463467","2017-11-22 23:12:28","","卡特 行走 不够 行走 不够 特别 单边 行走 还差 分油 中油 换了 还是 一样 动作 正常 主炮 压力 大神 指点"
1883,"http://bbs.cehome.com/thread-1144616-1-1.html","铁甲娱乐","轻松一刻","家伙得上点油了","组起来打鸟去","临朐庆爷","2017-11-22 23:08:47","","家伙 得上 油了 组起来"
1884,"http://bbs.cehome.com/thread-1144615-1-1.html","挖掘机专区","我爱我挖","【维修往事】沃尔沃210一个泵修了四次","车型，沃尔沃210，地点:工地，毛病，漏油，作为一名入行不到两年的修车人来说，这个事儿也算是比较稀奇了，这个车已经干了1万6千多个小时了，大泵前后都有漏油，所以第一次修的时候，就是像往常一样抬下来换个油封就完了，但装上之后别车的时候泵后面还是在漏就第二次抬下来把后面泵重新仔细油封检查抹上胶再装，装上之后还是在漏，然后，第三次，把后泵拆下来在车床上吧装油封的面车了一下，不小心车坏了 就直接换了个泵壳子，装上之后，更狗血的剧情是后面在没漏，本来不漏的前面漏开了，这次直接到车床上车了一下，总算是不漏了，，。各位甲友 ，文化程度不高，编到这已经很难了，望甲友们多多指点 最后奉上几张照片","手机用户QZ8afaX","2017-11-22 23:08:40","[维修改装]","维修 往事 沃尔沃 一个 四次 车型 沃尔沃 地点 工地 毛病 漏油 作为 一名 入行 不到 两年 修车 来说 这个 事儿 算是 比较 稀奇 这个 已经 干了 多个 小时 前后 都有 漏油 所以 第一次 时候 就是 往常 一样 抬下来 换个 油封 完了 装上 之后 时候 后面 还是 第二次 抬下来 后面 重新 仔细 油封 检查 抹上 装上 之后 还是 然后 第三次 拆下来 在车 床上 油封 一下 不小心 坏了 直接 换了 壳子 装上 之后 狗血 剧情 后面 本来 不漏 前面 开了 这次 直接 车床 上车 一下 总算是 不漏 各位 文化程度 不高 编到 已经 很难 多多 指点 最后 奉上 几张 照片"
1885,"http://bbs.cehome.com/thread-1144611-1-1.html","挖掘机专区","我爱我挖","看看这个手掌就是老司机了，看懂的老司机点个赞","","新华机械","2017-11-22 23:03:15","","看看 这个 手掌 就是 司机 看懂 司机 点个"
1886,"http://bbs.cehome.com/thread-1144608-1-1.html","我与工程机械","故障咨询","求师傅","斗山225-7的炮锤管怎么接法，求师傅指导","手机用户aejn027","2017-11-22 23:00:07","[其他]","师傅 斗山 怎么 接法 师傅 指导"
1887,"http://bbs.cehome.com/thread-1144607-1-1.html","挖掘机专区","我爱我挖","有木有甲友接触过凯斯挖掘机的","本人最近想买一台2手的挖机，朋友给介绍了一台凯斯挖掘机有开过的，留下宝贵意见，小弟第一台挖掘机，跪谢。","手机用户loprwy7","2017-11-22 22:59:21","","接触 挖掘机 本人 最近 想买 一台 挖机 朋友 介绍 一台 挖掘机 开过 留下 宝贵意见 小弟 第一台 挖掘机 跪谢"
1888,"http://bbs.cehome.com/thread-1144601-1-1.html","我与工程机械","故障咨询","日立240冒白烟","日立240怠速冒白烟带点蓝烟然后工作时就不冒了这是什么情况。。","莫问江湖多险恶","2017-11-22 22:53:50","[其他]","日立 白烟 日立 白烟 带点 然后 工作 就不 冒了 这是 什么情况"
1889,"http://bbs.cehome.com/thread-1144598-1-1.html","挖掘机专区","我爱我挖","哪年的","帮我看看","遂宁……俊男！！！","2017-11-22 22:50:04","","帮我 看看"
1890,"http://bbs.cehome.com/thread-1144597-1-1.html","互通有无","招聘求职","有没有老板","有没有老板在东莞求收留开120～360.15916840197度过这个冬天","小丰","2017-11-22 22:48:14","[广东]","有没有 老板 有没有 老板 东莞 收留 度过 这个 冬天"
1891,"http://bbs.cehome.com/thread-1144586-1-1.html","挖掘机专区","我爱我挖","【维修往事】三一挖机更换分配阀油封","维修机型：三一205挖掘机维修原因：分配阀油封老化漏油特厉害！记得这是2016年下第一场雪后的事！下完雪晴了去搞农田改造挖鱼池，去挖了一条沟排水准备清淤，水刚放出来就发现，水里好多油花，我就马上发现不对劲了，下车一检查分配阀那里漏油挺厉害的！赶紧看了液压油位表，已经看不到油了，还好发现的早没有把液压泵搞坏！赶紧给三一公司打了个电话，很块售后服务工程师就来了！说你的多路阀油封坏掉了，于是就给我发配件了，配件一到就过来给我换。更换挺麻烦的拆了20多根大小不同的油管，师傅挺过细的边拆边做记号，要是装的时候装错了就掉的大了，2个师傅一个上面分配阀哪里拆一个再下面底壳那个拆。我当时看了一下时间拆下来用了2小时，然后就是抬下来打散更换油封就图片上的一小袋橡皮圈，这可不是橡皮圈，这油封老贵了，油封加工时费一起是4500元！拆开后发现那些橡皮圈（油封）不是瘪了就是破了！看来问题是找对了，更换好新的油后用铲车吊上去的太重了还要对孔，真心不容易啊！换好后加了3桶液压油，随便一漏就是3桶伤不起啊！液压油都花了1000多元！辛苦三一服务工程师傅了，忙了一整天！我不是三一的托，售后服务确实可以！有些是不收工时费的，修这个就要收！配件便宜更换麻烦！","田畕畾","2017-11-22 22:31:22","[维修改装]","维修 往事 三一 挖机 更换 分配阀 油封 维修 机型 三一 挖掘机 维修 原因 分配阀 油封 老化 漏油 厉害 记得 这是 年下 第一场 雪后 下完 晴了 农田 改造 鱼池 一条 排水 准备 清淤 放出来 发现 水里 好多 油花 马上 发现 不对劲 下车 检查 分配阀 那里 漏油 厉害 赶紧 看了 液压油 已经 看不到 油了 还好 发现 没有 液压泵 搞坏 赶紧 三一 公司 打了个 电话 售后服务 工程师 就来 多路 油封 坏掉 于是就 给我发 配件 配件 一到 就过来 给我 更换 麻烦 大小 不同 油管 师傅 挺过 边做 记号 要是 时候 装错 师傅 一个 上面 分配阀 哪里 一个 再下 那个 当时 看了 一下 时间 拆下来 用了 小时 然后就 抬下来 打散 更换 油封 图片 一小 橡皮圈 这可 不是 橡皮圈 油封 贵了 油封 加工 一起 拆开 发现 那些 橡皮圈 油封 不是 就是 破了 看来 问题是 对了 更换 后用 铲车 吊上去 太重 还要 真心 不容易 换好 加了 液压油 随便 就是 液压油 花了 多元 辛苦 三一 服务 工程师 一整天 不是 三一 售后服务 确实 可以 有些 不收 工时费 这个 就要 配件 便宜 更换 麻烦"
1892,"http://bbs.cehome.com/thread-1144585-1-1.html","挖掘机专区","我爱我挖","设备对比的帖子在哪找","大神们","别来无恙！","2017-11-22 22:30:12","","设备 对比 帖子 在哪 大神"
1893,"http://bbs.cehome.com/thread-1144583-1-1.html","我与工程机械","故障咨询","卡特305.5E2前曲轴油封渗油","刚1500小时，就发现前曲轴油封处有油泥，擦干净了几天就会出现，没有滴，应该是渗的，这种情况你们有吗？会不会越来越严重？怎么处理？","18361516168","2017-11-22 22:28:21","[漏油/漏水]","卡特 曲轴 油封 小时 发现 曲轴 油封 油泥 擦干 几天 就会 出现 没有 应该是 这种 情况 你们 会不会 越来越 严重 怎么 处理"
1894,"http://bbs.cehome.com/thread-1144577-1-1.html","挖掘机专区","我爱我挖","？？","铁甲的那些技术贴去哪里了","启初的梦","2017-11-22 22:22:04","","铁甲 那些 技术 哪里"
1895,"http://bbs.cehome.com/thread-1144574-1-1.html","铁甲娱乐","轻松一刻","签到","冷","lixiaoyv2218","2017-11-22 22:19:33","","签到"
1896,"http://bbs.cehome.com/thread-1144572-1-1.html","我与工程机械","故障咨询","沃尔沃210B启动后熄火就打不着，打着了在熄火又打不着求解","沃尔沃210B启动后熄火就打不着，打着了在熄火又打不着求解","15115572058","2017-11-22 22:17:46","[其他]","沃尔沃 启动 熄火 就打 不着 打着 熄火 又打 不着 求解 沃尔沃 启动 熄火 就打 不着 打着 熄火 又打 不着 求解"
1897,"http://bbs.cehome.com/thread-1144571-1-1.html","挖掘机专区","我爱我挖","急需360以上挖机","工地在山东泰安，需360以上挖机，带锤175以上，工期一年以上，结款三天结一次！联系号码17770315599","手机用户dikmwy5","2017-11-22 22:17:25","","急需 以上 挖机 工地 山东 泰安 以上 挖机 以上 工期 一年 以上 结款 一次 联系 号码"
1898,"http://bbs.cehome.com/thread-1144570-1-1.html","挖掘机专区","我爱我挖","再拆","","微信用户-be61","2017-11-22 22:16:10","",""
1899,"http://bbs.cehome.com/thread-1144568-1-1.html","挖掘机专区","我爱我挖","拆","拆","微信用户-be61","2017-11-22 22:14:20","",""
1900,"http://bbs.cehome.com/thread-1144566-1-1.html","互通有无","招聘求职","海南有没有老板招司机的","我要去海南避暑  找个200机老板收留 打我电话18593950891","手机用户acgwz34","2017-11-22 22:13:51","[海南]","海南 有没有 老板 司机 要去 海南 避暑 找个 老板 收留 打我 电话"
1901,"http://bbs.cehome.com/thread-1144565-1-1.html","铁甲娱乐","轻松一刻","签","祝愿晚上加班的挖掘机司机兄弟们开心快乐，注意安全","随变","2017-11-22 22:13:30","","祝愿 晚上 加班 挖掘机 司机 兄弟们 开心 快乐 注意安全"
1902,"http://bbs.cehome.com/thread-1144562-1-1.html","","","","","","","",""
1903,"http://bbs.cehome.com/thread-1144560-1-1.html","挖掘机专区","我爱我挖","老板为讨老婆开心，专门找人设计的可爱粉色挖掘机","美女专用","风流倜傥","2017-11-22 22:10:12","[维修改装]","老板 讨老婆 开心 专门 找人 设计 可爱 粉色 挖掘机 美女 专用"
1904,"http://bbs.cehome.com/thread-1144557-1-1.html","挖掘机专区","我爱我挖","挖沟，打炮","今天依然是在挖消防管沟。先打路面，在挖沟。马路上还要打一长条过去。看明天打的完不。最近比较忙，一直没看过农历日期，连大儿子今天生日都忘记了 明天买个蛋糕给他补上。","雷影","2017-11-22 22:07:25","","挖沟 打炮 今天 依然是 消防 先打 路面 挖沟 马路上 还要 一长 过去 明天 打的 最近 比较忙 一直 没看 农历 日期 大儿子 今天 生日 忘记 明天 买个 蛋糕 给他 补上"
1905,"http://bbs.cehome.com/thread-1144555-1-1.html","挖掘机专区","我爱我挖","住友","准备入手二手SH240_A5一台有谁用过 给点意见","微信用户-be61","2017-11-22 22:06:51","","住友 准备 入手 二手 一台 有谁 用过 给点 意见"
1906,"http://bbs.cehome.com/thread-1144552-1-1.html","挖掘机专区","我爱我挖","没有锤就是干","卡特就是有劲啊","谁拿流年乱了浮生？","2017-11-22 22:05:56","","没有 就是 卡特 就是 有劲"
1907,"http://bbs.cehome.com/thread-1144549-1-1.html","挖掘机专区","我爱我挖","【一起来，就现在】过草原","看着很荒凉","吉野","2017-11-22 22:01:21","","一起 现在 草原 看着 荒凉"
1908,"http://bbs.cehome.com/thread-1144545-1-1.html","挖掘机专区","我爱我挖","铁甲礼盒","这是什么意思啊？","装逼了","2017-11-22 21:54:02","","铁甲 礼盒 这是 什么意思"
1909,"http://bbs.cehome.com/thread-1144540-1-1.html","挖掘机专区","我爱我挖","卡特c型机在西藏山南这种天好打火吗？","各位甲友有经验吗！谢谢","13726896006","2017-11-22 21:46:32","","卡特 西藏 山南 这种 打火 各位 经验 谢谢"
1910,"http://bbs.cehome.com/thread-1144536-1-1.html","挖掘机专区","我爱我挖","【一起来 就现在】","【一起来 就现在】和老婆一起泡脚难得的安宁时刻，和老婆一起泡泡脚，去去湿气，一直保持好身体。","lm1986","2017-11-22 21:43:01","","一起 现在 一起 现在 老婆 一起 难得 安宁 时刻 老婆 一起 泡泡 去去 湿气 一直 保持 身体"
1911,"http://bbs.cehome.com/thread-1144534-1-1.html","挖掘机专区","我爱我挖","累了","工仔比老板还有钱，还做什么挖机，明天把挖机卖了","鸣城敏爷","2017-11-22 21:41:44","","累了 老板 还有 做什么 挖机 明天 挖机 卖了"
1912,"http://bbs.cehome.com/thread-1144532-1-1.html","挖掘机专区","杂谈图库","【一起来，就现在】干涸的瀑布","","野趣盎然","2017-11-22 21:41:05","","一起 现在 干涸 瀑布"
1913,"http://bbs.cehome.com/thread-1144529-1-1.html","挖掘机专区","我爱我挖","5到6吨小挖机抓木器那个牌子好","各位谁知道那个牌子抓木器好速度快求购抓木器5到6吨小挖机","手机用户dlopv35","2017-11-22 21:37:30","","小挖 木器 那个 牌子 各位 谁知道 那个 牌子 木器 速度快 求购 木器 小挖"
1914,"http://bbs.cehome.com/thread-1144527-1-1.html","挖掘机专区","我爱我挖","日本进口卡特320D带称重系统的看过来","纯进口机子的带称重系统的看过来 你们有过大臂提不起的情况吗 我的今天卡住了一次 晚上又卡住了一次  随便动动臂又好了 我问我一个朋友他的也出现过这种情况 他的也是进口320 他的比我严重 他说把油缸根部那个阀拆下来洗下就好了","18110602717","2017-11-22 21:34:47","","日本 进口 卡特 称重 系统 看过来 进口 机子 称重 系统 看过来 你们 有过 提不起 情况 今天 卡住 一次 晚上 卡住 一次 随便 动动 好了 问我 一个 朋友 出现 这种 情况 也是 进口 比我 严重 油缸 根部 那个 拆下来 洗下 就好"
1915,"http://bbs.cehome.com/thread-1144521-1-1.html","挖掘机专区","我爱我挖","下班","","微信用户_oH76gX","2017-11-22 21:25:26","","下班"
1916,"http://bbs.cehome.com/thread-1144519-1-1.html","挖掘机专区","我爱我挖","山工这款机型质量怎么样","有没有来过山工636的","春夏秋冬.唯我山工","2017-11-22 21:24:09","","这款 机型 质量 怎么样 有没有 来过"
1917,"http://bbs.cehome.com/thread-1144515-1-1.html","挖掘机专区","我爱我挖","【一起来，就现在】高原穿行","","野性食族","2017-11-22 21:18:26","","一起 现在 高原 穿行"
1918,"http://bbs.cehome.com/thread-1144508-1-1.html","挖掘机专区","我爱我挖","小松200-6","回转马达打齿","问一问天多高","2017-11-22 21:09:12","","小松 回转 马达"
1919,"http://bbs.cehome.com/thread-1144505-1-1.html","挖掘机专区","杂谈图库","黄昏","","野狼劲舞","2017-11-22 21:05:27","","黄昏"
1920,"http://bbs.cehome.com/thread-1144502-1-1.html","挖掘机专区","我爱我挖","日立200-5A","年底准备提日立200-5A，有用过的甲友给点意见！谢谢大家了！","挖泥好日手","2017-11-22 21:01:58","","日立 年底 准备 日立 有用 给点 意见 谢谢 大家"
1921,"http://bbs.cehome.com/thread-1144500-1-1.html","挖掘机专区","我爱我挖","破碎钎杆","断了，今天焊接的，都说不能用，可我用了几个小时了，没事中午一广东推销员打电话给我，说68钎杆1800元一根，我的天","装挖机1211","2017-11-22 21:01:08","","破碎 断了 今天 焊接 都说 不能 可我 用了 几个 小时 没事 中午 广东 推销员 打电话 给我 一根"
1922,"http://bbs.cehome.com/thread-1144496-1-1.html","挖掘机专区","我爱我挖","我凯斯240带135的锤子，小吗？","小吗","990369869","2017-11-22 20:57:17","","锤子"
1923,"http://bbs.cehome.com/thread-1144492-1-1.html","互通有无","配件广告专区","求购神钢260驾驶室一个","13666261545.价格合适的打电话","金堂神钢挖机","2017-11-22 20:52:15","[发动机]","求购 神钢 驾驶室 一个 价格 合适 打电话"
1924,"http://bbs.cehome.com/thread-1144490-1-1.html","互通有无","招聘求职","找小挖司机，二把刀也行，工资月结","18952169066","脚踏实地，稀泥甩起来","2017-11-22 20:51:07","[北京]","小挖 司机 二把刀 也行 工资 月结"
1925,"http://bbs.cehome.com/thread-1144489-1-1.html","互通有无","招聘求职","徐州市邳州找小挖司机管吃管住，工资月结","18952169066二把刀也行","脚踏实地，稀泥甩起来","2017-11-22 20:50:24","[福建]","徐州市 邳州 小挖 司机 管吃管住 工资 月结 二把刀 也行"
1926,"http://bbs.cehome.com/thread-1144487-1-1.html","互通有无","配件广告专区","求购jcm913c驾驶室","有jcm913c驾驶室的联系我18315717432","微信用户-715b","2017-11-22 20:49:05","[发动机]","求购 驾驶室 驾驶室 联系"
1927,"http://bbs.cehome.com/thread-1144483-1-1.html","挖掘机专区","我爱我挖","累","一天天的累","心情","2017-11-22 20:46:36","","一天天"
1928,"http://bbs.cehome.com/thread-1144480-1-1.html","挖掘机专区","我爱我挖","领币","","野狼劲舞","2017-11-22 20:41:45","",""
1929,"http://bbs.cehome.com/thread-1144476-1-1.html","挖掘机专区","我爱我挖","有大师么？？？？","这个液压油温度高，有什么原因，欢迎各位高手指点","杨志生","2017-11-22 20:35:48","","大师 这个 液压油 温度 什么原因 欢迎 各位 高手 指点"
1930,"http://bbs.cehome.com/thread-1144474-1-1.html","互通有无","招聘求职","焊工求职","现在年后都有效，待遇好随时上岗","专业焊挖","2017-11-22 20:34:20","[北京]","焊工 求职 现在 年后 都有 待遇 随时 上岗"
1931,"http://bbs.cehome.com/thread-1144470-1-1.html","我与工程机械","故障咨询","请教各位师傅，节温器怎么装","大神们好，我的挖机是三一215-8，三菱发动机，天气冷啦，我想把节温器装上去，节温器不知道哪一头朝上，哪一头朝下？天热的时候拆下来忘记了方向，谢谢！","18720352123","2017-11-22 20:28:56","[其他]","请教 各位 师傅 怎么 大神 挖机 三一 三菱 发动机 天气 想把 装上去 不知道 哪一 朝上 哪一 朝下 时候 拆下来 忘记 方向 谢谢"
1932,"http://bbs.cehome.com/thread-1144467-1-1.html","挖掘机专区","我爱我挖","好","我做的","专业焊挖","2017-11-22 20:26:03","",""
1933,"http://bbs.cehome.com/thread-1144464-1-1.html","挖掘机专区","我爱我挖","请教各位一下，急急急！！！","劳烦一下各位朋友，斗山75.现代75'三一75.柳工9075.到底选哪个质量好些，谢谢各位朋友指点","手机用户bfhnqv4","2017-11-22 20:23:44","","请教 各位 一下 急急 劳烦 一下 各位朋友 斗山 现代 三一 到底 哪个 质量 好些 谢谢 各位朋友 指点"
1934,"http://bbs.cehome.com/thread-1144461-1-1.html","我与工程机械","故障咨询","住友360杠5电喷不好打火求大神指教","中午吃饭休息一下就打不着了要启动液才可以","ll张正","2017-11-22 20:19:53","[其他]","住友 电喷 不好 打火 大神 指教 中午 吃饭 休息 一下 就打 不着 启动 可以"
1935,"http://bbs.cehome.com/thread-1144457-1-1.html","挖掘机专区","杂谈图库","养挖机不如养马？用马施工，工人月入上万！","铁甲日记第12天","铲斗人生","2017-11-22 20:16:27","","挖机 不如 施工 工人 月入 上万 铁甲 日记"
1936,"http://bbs.cehome.com/thread-1144452-1-1.html","挖掘机专区","我爱我挖","刚买的三一55请教","听说我这个是最新款的三一55，我想知道我这个是哪里的发动机，什么液压泵？怎么磨合好","13755882058","2017-11-22 20:09:04","","三一 请教 听说 这个 最新款 三一 想知道 这个 哪里 发动机 什么 液压泵 怎么 磨合"
1937,"http://bbs.cehome.com/thread-1144450-1-1.html","挖掘机专区","我爱我挖","哈哈","青梅竹马","挖疯","2017-11-22 20:07:24","","哈哈 青梅竹马"
